Kategoria: Wszystko

Miesiąc,Hot Wheels: (Cały świat),Scrabble: (Cały świat),Monster High: (Cały świat),UNO: (Cały świat)
2012-04,12,74,48,20
2012-05,10,59,43,20
2012-06,11,55,44,20
2012-07,12,53,50,21
2012-08,10,50,51,20
2012-09,11,44,47,20
2012-10,11,50,61,20
2012-11,12,52,66,21
2012-12,15,54,74,20
2013-01,9,54,67,20
2013-02,8,56,62,18
2013-03,9,52,66,18
2013-04,8,47,60,18
2013-05,8,39,58,18
2013-06,8,38,59,19
2013-07,9,40,59,20
2013-08,9,38,59,19
2013-09,8,32,55,18
2013-10,9,29,72,18
2013-11,11,31,70,18
2013-12,13,30,74,18
2014-01,8,30,59,19
2014-02,8,29,53,18
2014-03,7,26,51,17
2014-04,8,25,46,17
2014-05,8,24,43,17
2014-06,8,22,43,18
2014-07,9,23,46,19
2014-08,9,24,45,19
2014-09,8,21,39,18
2014-10,10,23,49,17
2014-11,11,25,45,19
2014-12,14,28,48,19
2015-01,9,27,41,19
2015-02,8,24,37,19
2015-03,9,23,33,18
2015-04,9,24,31,18
2015-05,8,20,26,19
2015-06,8,19,26,18
2015-07,9,20,28,20
2015-08,9,20,26,19
2015-09,9,19,24,19
2015-10,10,20,30,19
2015-11,13,21,28,19
2015-12,16,24,30,21
2016-01,10,25,25,21
2016-02,8,23,21,20
2016-03,9,22,17,19
2016-04,8,21,16,18
2016-05,8,18,15,19
2016-06,8,20,13,20
2016-07,8,20,14,19
2016-08,8,20,13,18
2016-09,8,19,12,19
2016-10,9,19,15,19
2016-11,13,21,9,8
2016-12,16,25,10,8
2017-01,10,25,10,8
2017-02,9,23,10,8
2017-03,9,22,9,8
2017-04,9,22,9,8
2017-05,10,23,7,7
2017-06,9,24,8,7
2017-07,9,26,8,9
2017-08,9,27,8,9
2017-09,9,26,6,8
2017-10,11,27,7,7
2017-11,15,25,7,8
2017-12,18,35,7,10
2018-01,11,36,5,10
2018-02,10,36,5,10
2018-03,10,35,5,10
2018-04,9,34,4,9
2018-05,9,33,4,9
2018-06,9,33,5,9
2018-07,11,34,5,10
2018-08,10,36,5,12
2018-09,10,33,4,12
2018-10,12,32,4,11
2018-11,16,35,4,18
2018-12,20,41,4,22
2019-01,11,40,3,12
2019-02,10,38,3,11
2019-03,11,37,3,11
2019-04,10,37,3,11
2019-05,10,33,3,13
2019-06,10,33,3,13
2019-07,11,35,3,16
2019-08,11,37,3,14
2019-09,10,34,3,12
2019-10,12,35,3,12
2019-11,18,36,3,14
2019-12,21,39,3,17
2020-01,13,37,3,20
2020-02,11,35,3,15
2020-03,10,52,3,21
2020-04,12,76,4,22
2020-05,12,60,4,17
2020-06,12,49,4,14
2020-07,12,44,4,15
2020-08,12,42,4,14
2020-09,13,36,4,12
2020-10,15,37,6,11
2020-11,20,43,6,12
2020-12,23,48,4,15
2021-01,14,46,3,16
2021-02,14,45,3,14
2021-03,13,39,3,13
2021-04,14,40,3,14
2021-05,13,38,3,14
2021-06,13,33,3,12
2021-07,14,34,3,14
2021-08,15,37,4,15
2021-09,14,32,4,12
2021-10,17,32,5,12
2021-11,21,36,4,12
2021-12,25,38,3,15
2022-01,17,42,4,17
2022-02,15,38,5,15
2022-03,15,34,4,14
2022-04,14,33,5,14
2022-05,13,28,6,13
2022-06,16,28,7,15
2022-07,17,30,8,15
2022-08,17,32,6,14
2022-09,16,27,6,12
2022-10,18,29,10,12
2022-11,22,29,5,10
2022-12,26,34,5,14
2023-01,19,32,5,13
2023-02,18,32,4,11
2023-03,17,30,4,11
2023-04,17,33,6,12
2023-05,17,26,5,11
2023-06,18,27,5,11
2023-07,20,28,6,12
2023-08,19,30,6,12
2023-09,22,26,5,10
2023-10,24,25,10,10
2023-11,26,27,9,11
2023-12,32,31,8,14
2024-01,20,28,6,13
2024-02,18,21,6,11
2024-03,19,23,7,11
2024-04,19,21,6,12
2024-05,17,19,6,12
2024-06,17,19,6,13
2024-07,18,20,7,13
2024-08,20,21,8,13
2024-09,23,20,9,11
2024-10,25,19,12,10
2024-11,29,22,9,11
2024-12,36,27,8,17
2025-01,25,24,7,15
2025-02,23,22,6,11
2025-03,22,21,6,10
2025-04,22,20,6,9
2025-05,21,19,5,10
2025-06,21,20,5,14
2025-07,22,20,8,15
2025-08,24,22,9,14
2025-09,27,19,8,11
2025-10,29,20,12,12
2025-11,32,22,8,14
2025-12,32,18,6,13
